Code,Name,Latest_Date,Latest_Close,Daily_Change_Pct,Matched_Conditions,MA20,MA60,Volume_Ratio
600797,浙大网新,2026-08-06,7.33,-1.21%,趋势: 高于MA20,6.81,7.23,0.93X
000670,盈方微,2026-08-14,6.85,-0.72%,趋势: 高于MA20,6.61,7.64,0.70X
603181,皇马科技,2026-08-06,13.23,0.00%,趋势: 高于MA20,12.74,14.32,0.90X
000048,京基智农,2026-08-14,23.7,-0.63%,趋势: 多头排列 (5>20>60) | 形态: 10日内有涨停 | 趋势: 高于MA20,20.15,19.09,1.06X
601965,中国汽研,2026-08-06,14.01,-3.04%,趋势: 高于MA20,13.72,14.11,1.47X
002858,力盛体育,2026-08-28,11.78,0.43%,"趋势: 多头排列 (5>20>60) | 形态: 两连阴 (-0.67%, -0.42%) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)",11.69,11.36,0.86X
600679,上海凤凰,2026-08-28,10.18,3.88%,趋势: 多头排列 (5>20>60) | 量能: 放量 (1.87X) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),9.58,9.34,1.87X
001219,青岛食品,2026-08-06,12.37,0.32%,"形态: 两连阴 (-0.96%, -0.80%) | 趋势: 高于MA20",12.14,12.67,0.75X
000541,佛山照明,2026-08-06,4.97,-0.60%,趋势: 高于MA20,4.94,5.03,1.05X
000821,京山轻机,2026-08-14,7.19,-0.14%,趋势: 高于MA20,7.09,7.98,0.82X
603970,中农立华,2026-08-06,10.3,0.19%,"形态: 两连阴 (-1.15%, -0.58%) | 趋势: 高于MA20",10.09,10.71,1.10X
003013,地铁设计,2026-08-06,18.18,-0.11%,趋势: 多头排列 (5>20>60) | 趋势: 高于MA20,16.26,15.45,0.91X
601218,吉鑫科技,2026-08-14,4.58,-1.51%,趋势: 高于MA20,4.48,4.65,0.77X
603990,麦迪科技,2026-08-14,23.38,5.03%,形态: 10日内有涨停 | 趋势: 高于MA20,19.66,20.45,1.10X
603022,新通联,2026-08-14,8.66,0.46%,趋势: 高于MA20,8.08,8.69,0.91X
002552,宝鼎科技,2026-08-06,43.27,9.99%,形态: 10日内有涨停 | 动量: 突破转强 (阳线上穿5/10),43.37,52.62,1.04X
002845,同兴达,2026-08-28,13.35,0.60%,趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),13.03,14.06,0.95X
603101,汇嘉时代,2026-08-28,7.67,3.09%,趋势: 多头排列 (5>20>60) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),7.34,7.00,1.48X
002758,浙农股份,2026-08-06,7.86,-0.25%,"形态: 两连阴 (-1.25%, -0.38%) | 趋势: 高于MA20",7.78,8.09,1.22X
002584,西陇科学,2026-08-14,8.24,1.35%,趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),7.55,8.28,0.76X
002095,生 意 宝,2026-08-14,14.32,0.07%,趋势: 多头排列 (5>20>60) | 趋势: 高于MA20,13.93,13.57,0.85X
002606,大连电瓷,2026-08-06,14.46,-1.57%,趋势: 高于MA20,13.80,14.29,0.73X
600232,金鹰股份,2026-08-28,6.57,1.86%,"趋势: 多头排列 (5>20>60) | 形态: 两连阴 (-1.37%, -0.15%) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)",6.33,6.29,1.00X
603677,奇精机械,2026-08-14,13.73,0.66%,"形态: 两连阴 (-0.51%, -0.94%) | 趋势: 高于MA20",13.21,14.19,0.70X
600212,绿能慧充,2026-08-28,6.22,0.97%,趋势: 多头排列 (5>20>60) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),5.67,5.44,0.62X
603037,凯众股份,2026-08-06,10.29,-0.10%,趋势: 高于MA20,9.54,11.32,0.88X
603162,海通发展,2026-08-28,12.68,6.02%,趋势: 多头排列 (5>20>60) | 量能: 放量 (1.54X) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),11.75,10.63,1.54X
002453,华软科技,2026-08-14,4.39,-1.35%,趋势: 高于MA20,4.16,4.74,0.98X
600098,广州发展,2026-08-06,6.28,-1.10%,"形态: 两连阴 (-1.37%, -1.70%)",6.29,6.75,0.92X
002669,康达新材,2026-08-06,12.22,0.41%,趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),11.63,14.66,0.96X
603708,家家悦,2026-08-06,9.43,-0.21%,"形态: 两连阴 (-1.44%, -1.25%) | 趋势: 高于MA20",9.33,9.40,0.75X
600860,京城股份,2026-08-14,8.57,-3.49%,量能: 放量 (1.97X) | 趋势: 高于MA20,8.06,8.50,1.97X
603519,立霸股份,2026-08-06,15.21,-2.87%,趋势: 多头排列 (5>20>60) | 趋势: 高于MA20,15.08,14.27,0.77X
600737,中粮糖业,2026-08-06,12.82,-1.16%,趋势: 高于MA20,12.21,12.86,1.17X
000822,山东海化,2026-08-06,4.31,0.47%,趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),4.14,4.46,0.75X
000712,锦龙股份,2026-08-14,9.33,-2.20%,形态: 10日内有涨停 | 趋势: 高于MA20,8.95,9.16,0.66X
603778,国晟科技,2026-08-14,10.43,-2.25%,形态: 10日内有涨停 | 趋势: 高于MA20,9.68,13.26,1.03X
600812,华北制药,2026-08-06,4.76,0.00%,趋势: 多头排列 (5>20>60),4.81,4.63,1.25X
002121,科陆电子,2026-08-06,5.2,-2.07%,趋势: 高于MA20,4.95,5.95,0.83X
000953,河化股份,2026-08-14,6.17,-1.44%,趋势: 高于MA20,5.58,5.72,0.80X
002031,巨轮智能,2026-08-14,5.94,-5.26%,形态: 10日内有涨停 | 趋势: 高于MA20,5.15,5.68,1.10X
600058,五矿发展,2026-08-14,10.8,1.31%,趋势: 高于MA20,9.73,10.16,0.62X
001202,炬申股份,2026-08-06,13.2,0.84%,动量: 突破转强 (阳线上穿5/10),13.40,14.43,0.80X
603685,晨丰科技,2026-08-28,24.03,-0.21%,"形态: 两连阴 (-1.31%, -0.41%)",25.67,27.60,1.26X
600516,方大炭素,2026-08-06,5.21,-0.95%,趋势: 高于MA20,5.13,5.47,1.03X
000759,中百集团,2026-08-28,6.3,3.28%,动量: 突破转强 (阳线上穿5/10),6.62,6.48,0.91X
603050,科林电气,2026-08-06,18.35,-1.56%,趋势: 高于MA20,18.28,20.14,0.99X
002313,日海智能,2026-08-06,8.41,2.81%,趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),7.81,8.36,1.24X
000550,江铃汽车,2026-08-06,16.4,-1.97%,"形态: 两连阴 (-1.64%, -0.24%)",16.48,16.89,1.03X
600996,贵广网络,2026-08-14,6.92,-1.56%,趋势: 高于MA20,6.75,7.64,1.01X
600458,时代新材,2026-08-06,11.55,-1.53%,趋势: 高于MA20,11.13,13.41,0.89X
