代码,信号日期,信号价格,当前价格,当前收益%,最高收益%,是否获利,持有天数,触发条件
603339,2026-07-13,15.98,13.94,-12.77,-10.01,0,18,趋势: 多头排列 (5>20>60) | 形态: 10日内有涨停 | 趋势: 高于MA20
002016,2026-07-15,4.23,4.41,4.26,7.8,1,17,趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)
605228,2026-07-13,13.88,11.09,-20.1,3.24,0,18,趋势: 高于MA20
605050,2026-07-15,10.26,10.66,3.9,6.63,1,22,量能: 放量 (2.21X) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)
605050,2026-08-06,10.61,10.66,0.47,3.11,1,6,趋势: 高于MA20
002478,2026-08-06,6.32,6.24,-1.27,1.58,0,6,趋势: 高于MA20
600769,2026-07-13,16.47,14.75,-10.44,3.52,0,18,形态: 10日内有涨停
600468,2026-08-06,6.45,6.14,-4.81,2.79,0,6,形态: 10日内有涨停 | 趋势: 高于MA20
000803,2026-08-06,7.17,7.08,-1.26,1.81,0,6,趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)
000922,2026-08-06,11.59,11.72,1.12,4.06,1,6,趋势: 高于MA20
603707,2026-07-15,7.99,8.1,1.38,3.63,1,17,趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)
000932,2026-07-15,3.64,3.73,2.47,9.34,1,17,趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)
600151,2026-07-15,9.2,10.79,17.28,20.98,1,22,"形态: 两连阴 (-10.03%, -6.71%)"
600151,2026-08-06,11.0,10.79,-1.91,1.18,0,6,量能: 放量 (1.70X) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)
600084,2026-07-15,4.45,4.23,-4.94,0.67,0,17,趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)
002171,2026-08-06,9.86,9.83,-0.3,1.83,0,6,趋势: 高于MA20
600218,2026-07-15,7.35,7.58,3.13,4.76,1,22,动量: 突破转强 (阳线上穿5/10)
600218,2026-08-06,7.55,7.58,0.4,1.99,1,6,"形态: 两连阴 (-0.91%, -0.26%) | 趋势: 高于MA20"
600869,2026-07-13,20.43,15.6,-23.64,4.99,0,18,"形态: 两连阴 (-0.04%, -3.07%)"
000703,2026-07-15,14.48,16.78,15.88,25.55,1,22,形态: 10日内有涨停 | 趋势: 高于MA20
000703,2026-08-06,17.2,16.78,-2.44,5.7,0,6,趋势: 多头排列 (5>20>60) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)
002492,2026-07-15,5.34,5.58,4.49,5.99,1,22,动量: 突破转强 (阳线上穿5/10)
002492,2026-08-06,5.62,5.58,-0.71,0.71,0,6,趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)
600817,2026-07-13,9.08,9.26,1.98,4.52,1,18,趋势: 高于MA20
000598,2026-07-15,6.9,7.12,3.19,7.68,1,17,趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)
601008,2026-07-15,4.27,4.34,1.64,4.68,1,16,趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)
605001,2026-08-06,5.47,5.61,2.56,3.84,1,6,"形态: 两连阴 (-0.18%, -0.55%) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)"
002264,2026-07-15,6.15,6.59,7.15,9.59,1,22,量能: 放量 (1.52X) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)
002264,2026-08-06,6.63,6.59,-0.6,1.66,0,6,趋势: 高于MA20
002403,2026-07-15,9.25,9.57,3.46,3.46,1,16,形态: 10日内有涨停
603178,2026-07-15,14.31,17.34,21.17,24.74,1,22,"形态: 10日内有涨停 | 形态: 两连阴 (-10.01%, -1.32%)"
603178,2026-08-06,16.95,17.34,2.3,5.31,1,6,形态: 10日内有涨停 | 趋势: 高于MA20
603588,2026-07-13,13.33,14.02,5.18,7.65,1,18,"形态: 两连阴 (-0.31%, -6.56%)"
603901,2026-07-13,9.46,9.69,2.43,4.76,1,18,"形态: 两连阴 (-0.78%, -0.88%)"
002245,2026-07-15,20.54,18.86,-8.18,-8.18,0,22,形态: 10日内有涨停 | 趋势: 高于MA20
002245,2026-08-06,16.99,18.86,11.01,11.01,1,6,动量: 突破转强 (阳线上穿5/10)
